"Number";"Time_ms";"Q1";"Q2";"Q3";"Q4";"Time";"crc"
759;116033;116.02200317382812;0.038577307015657425;0.3766213357448578;-0.9200549721717834;0.10083144158124924;21174;
760;116244;116.23300170898438;0.017954856157302856;0.3553549647331238;-0.9328358769416809;0.05672511085867882;12633;
761;116445;116.43299865722656;0.014690767042338848;0.36512884497642517;-0.9295961260795593;0.048125628381967545;46589;
763;116704;116.69300079345703;0.020531296730041504;0.350149005651474;-0.9344512820243835;0.06144065782427788;30849;
766;117080;117.06900024414062;0.021886253729462624;0.37288764119148254;-0.9258276224136353;0.05761054903268814;26507;
767;117280;117.26899719238281;0.024817055091261864;0.3550650477409363;-0.9321721792221069;0.06609100103378296;6940;
769;117540;117.52899932861328;0.01984824612736702;0.36117228865623474;-0.9305872917175293;0.05628484487533569;55260;
770;117673;117.66200256347656;0.027049904689192772;0.3733551800251007;-0.9247681498527527;0.06839607656002045;44506;
771;117877;117.86599731445312;0.025158386677503586;0.37791907787323;-0.9232605695724487;0.06429704278707504;20212;
773;118145;118.13400268554688;0.035377200692892075;0.4131421744823456;-0.9059290885925293;0.08575883507728577;36672;
775;118418;118.40699768066406;0.04009312018752098;0.40676507353782654;-0.9074252247810364;0.09754116088151932;51525;
777;118678;118.66699981689453;0.04589366540312767;0.4328634738922119;-0.8934536576271057;0.11074131727218628;21772;
779;118940;118.92900085449219;0.0432063527405262;0.4205084443092346;-0.8994302749633789;0.11104510724544525;38259;
780;119057;119.04499816894531;0.04226124286651611;0.39615222811698914;-0.9105641841888428;0.11022830754518509;44294;
781;119273;119.26200103759766;0.04280828684568405;0.3818005919456482;-0.9163236618041992;0.11290150880813599;35584;
783;119628;119.61699676513672;0.030754687264561653;0.3738445043563843;-0.9234000444412231;0.08140486478805542;19165;
785;119888;119.87699890136719;0.0334610641002655;0.35978785157203674;-0.9281253814697266;0.08953399956226349;52915;
787;120149;120.13800048828125;0.03203180804848671;0.3013072907924652;-0.9490007758140564;0.08709488809108734;8060;
